OBJECTID;CODIGO;TIPO_CONST;TIPO_DOMIN;NUMERO_PIS;IDENTIFICA;GRIDCODE;Area_ha;Amenaza;Grado;Escenario;Escala
15;544980103000002210023000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00219920000;Alta;3;Avenida Torrencial;1:2.000
16;544980103000002210009000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00073353900;Alta;3;Avenida Torrencial;1:2.000
17;544980103000002210011000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00070946300;Alta;3;Avenida Torrencial;1:2.000
18;544980103000002210020000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00125665000;Alta;3;Avenida Torrencial;1:2.000
19;544980103000005080002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00830491000;Alta;3;Avenida Torrencial;1:2.000
20;544980103000005080003000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00622461000;Alta;3;Avenida Torrencial;1:2.000
21;544980103000005080003000000000;CONVENCIONAL;PRIVADO;1;B;3;0,01222110000;Alta;3;Avenida Torrencial;1:2.000
22;544980103000005080003000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00623214000;Alta;3;Avenida Torrencial;1:2.000
23;544980103000005080002000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00165455000;Alta;3;Avenida Torrencial;1:2.000
24;544980103000005080001000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00547427000;Alta;3;Avenida Torrencial;1:2.000
25;544980103000005080001000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00000010410;Alta;3;Avenida Torrencial;1:2.000
26;544980103000005090001000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00746349000;Alta;3;Avenida Torrencial;1:2.000
27;544980103000003330002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00292550000;Alta;3;Avenida Torrencial;1:2.000
28;544980103000003330001000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00013354600;Alta;3;Avenida Torrencial;1:2.000
29;544980101000001890007000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00192229000;Alta;3;Avenida Torrencial;1:2.000
30;544980101000001880001000000000;CONVENCIONAL;PRIVADO;1;A;3;0,01166530000;Alta;3;Avenida Torrencial;1:2.000
31;544980101000001880002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,01241460000;Alta;3;Avenida Torrencial;1:2.000
32;544980101000001880003000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00181719000;Alta;3;Avenida Torrencial;1:2.000
33;544980103000002800002000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00671955000;Alta;3;Avenida Torrencial;1:2.000
34;544980103000002800003000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00951653000;Alta;3;Avenida Torrencial;1:2.000
35;544980103000002800004000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00790649000;Alta;3;Avenida Torrencial;1:2.000
36;544980103000002800006000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00656102000;Alta;3;Avenida Torrencial;1:2.000
37;544980103000002800007000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00568022000;Alta;3;Avenida Torrencial;1:2.000
38;544980103000002800008000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00511330000;Alta;3;Avenida Torrencial;1:2.000
39;544980103000002800009000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00333943000;Alta;3;Avenida Torrencial;1:2.000
40;544980103000002800010000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00382031000;Alta;3;Avenida Torrencial;1:2.000
41;544980103000002800011000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00346895000;Alta;3;Avenida Torrencial;1:2.000
42;544980103000002800012000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00510393000;Alta;3;Avenida Torrencial;1:2.000
43;544980103000002800013000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00549945000;Alta;3;Avenida Torrencial;1:2.000
44;544980103000002800014000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00352688000;Alta;3;Avenida Torrencial;1:2.000
45;544980103000002800005000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00141361000;Alta;3;Avenida Torrencial;1:2.000
46;544980103000002800005000000000;CONVENCIONAL;PRIVADO;2;A;3;0,00265055000;Alta;3;Avenida Torrencial;1:2.000
47;544980103000002800005000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00126745000;Alta;3;Avenida Torrencial;1:2.000
48;544980103000002800007500000001;CONVENCIONAL;PRIVADO;1;A;3;0,00097776300;Alta;3;Avenida Torrencial;1:2.000
